"DoorBusters LIVE! (copy 07)","New Doorbusters live at 1PM Today! Look inside!","PetFlow Recurring Customers","Feb 16, 2014 01:10 pm",Sunday,51251,51227,12,12,24,1,0,4678,9.13%,5691,488,0.95%,526,40,4,0,0,4bb5a4a87c,,,,,,,,,,,,,,
"Happy Valentine's Day! (copy 06)","♥♥♥ Valentine's Coupon Extended for TODAY. Will Expire At Midnight!  ♥♥♥","Brand Lists","Feb 16, 2014 01:08 pm",Sunday,70495,70359,70,66,136,1,0,6146,8.74%,7459,415,0.59%,512,122,12,0,0,5332f2c9ff,,,,,,,,,,,,,,
"Happy Valentine's Day! (copy 05)","♥♥♥ Valentine's Coupon Extended for TODAY. Will Expire At Midnight!  ♥♥♥",PetFlow,"Feb 16, 2014 09:00 am",Sunday,278523,278449,48,26,74,4,2,16314,5.86%,19520,818,0.29%,959,119,25,0,0,01605ab178,,,,,,,,,,,,,,
"20% off Natural Balance","Special Offer: Save 20% on Natural Balance","Lifescript 2","Feb 15, 2014 09:00 am",Saturday,87564,87523,34,7,41,1,0,4190,4.79%,5112,62,0.07%,67,55,21,0,0,9491828f09,,,,,,,,,,,,,,
"20% off Natural Balance (copy 01)","Special Offer: Save 20% on Natural Balance","Pet Deals 2","Feb 15, 2014 09:00 am",Saturday,8660,8657,3,0,3,0,0,830,9.59%,962,24,0.28%,27,24,4,0,0,c6451594f8,,,,,,,,,,,,,,
"20% off Natural Balance (copy 02)","Special Offer: Save 20% on Natural Balance",PetFlow,"Feb 15, 2014 09:00 am",Saturday,293881,293786,58,37,95,2,0,22400,7.62%,27130,891,0.30%,1048,164,31,0,0,55ade3e13d,,,,,,,,,,,,,,
"20% off Natural Balance (copy 03)","Special Offer: Save 20% on Natural Balance","Pet Deals","Feb 15, 2014 09:00 am",Saturday,16994,16978,12,4,16,0,0,926,5.45%,1126,26,0.15%,34,12,7,0,0,9ebea994aa,,,,,,,,,,,,,,
"20% off Natural Balance (copy 05)","Special Offer: Save 20% on Natural Balance",LifeScript,"Feb 15, 2014 09:00 am",Saturday,62765,62732,26,7,33,0,0,2898,4.62%,3466,44,0.07%,54,34,12,0,0,4b0843752f,,,,,,,,,,,,,,
"Happy Valentine's Day!","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥",PetFlow,"Feb 14, 2014 09:56 am",Friday,280709,280597,72,40,112,6,4,25146,8.96%,32428,1890,0.67%,2268,194,25,0,0,00ac9fc403,,,,,,,,,,,,,,
"Happy Valentine's Day! (copy 04)","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥",LifeScript,"Feb 14, 2014 09:30 am",Friday,62815,62788,24,3,27,1,0,3426,5.46%,4209,113,0.18%,143,38,7,0,0,1708098776,,,,,,,,,,,,,,
"Happy Valentine's Day! (copy 03)","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥","Facebook Sponsored","Feb 14, 2014 09:26 am",Friday,7537,7526,9,2,11,0,0,704,9.35%,895,53,0.70%,61,10,3,0,0,fc8ae5b58a,,,,,,,,,,,,,,
"Happy Valentine's Day! (copy 02)","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥","Lifescript 2","Feb 14, 2014 09:23 am",Friday,87653,87614,33,6,39,3,0,5068,5.78%,6244,176,0.20%,199,63,18,0,0,d37ee9f651,,,,,,,,,,,,,,
"Happy Valentine's Day! (copy 01)","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥","PetFlow Blog","Feb 14, 2014 09:23 am",Friday,12310,12281,4,25,29,0,0,906,7.38%,1213,76,0.62%,86,22,6,0,0,9d56abe5af,,,,,,,,,,,,,,
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!",PetFlow,"Feb 13, 2014 09:00 am",Thursday,278026,277784,191,51,242,6,5,20914,7.53%,26438,1731,0.62%,2184,191,32,0,0,aa8ee960fb,"7,105.66%",$99.77,"$7,089.32",1640,469,8.9737804878049,0.49%,04:49,23.96%,$0.00,132,8.05%,$4.32,$53.71
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","PetFlow Recurring Customers","Feb 13, 2014 09:00 am",Thursday,44389,44371,9,9,18,3,2,5904,13.31%,7336,467,1.05%,570,43,11,0,0,d9f8d27466,"14,937.35%",$15.93,"$2,379.38",428,84,11.908878504673,0.23%,05:20,30.84%,$0.00,43,10.05%,$5.56,$55.33
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","PetFlow Blog","Feb 13, 2014 09:00 am",Thursday,12351,12304,37,10,47,1,0,842,6.84%,1029,79,0.64%,95,25,14,0,0,829ea66165,"4,761.09%",$4.43,$211.02,69,27,6.3913043478261,0.00%,03:31,17.39%,$0.00,4,5.80%,$3.06,$52.76
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","Facebook Sponsored","Feb 13, 2014 09:00 am",Thursday,7560,7550,9,1,10,0,0,640,8.48%,889,83,1.10%,100,20,4,0,0,091ace616b,"9,449.97%",$2.71,$256.37,79,21,7.6582278481013,0.00%,05:39,22.78%,$0.00,6,7.59%,$3.25,$42.73
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","Lifescript 2","Feb 13, 2014 09:00 am",Thursday,87800,87709,41,50,91,1,0,4962,5.66%,6019,184,0.21%,210,87,20,0,0,1b6f3f11d9,607.83%,$31.51,$191.51,147,74,5.8503401360544,0.68%,02:36,10.20%,$0.00,5,3.40%,$1.30,$38.30
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","Pet Deals 2","Feb 13, 2014 09:00 am",Thursday,8680,8675,3,2,5,0,0,904,10.42%,1095,43,0.50%,49,16,1,0,0,5cfec68c14,"1,598.48%",$3.11,$49.79,43,18,5.1395348837209,0.00%,02:00,13.95%,$0.00,2,4.65%,$1.16,$24.90
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!",LifeScript,"Feb 13, 2014 09:00 am",Thursday,62882,62832,26,24,50,0,0,3160,5.03%,3840,128,0.20%,153,34,13,0,0,93dc8e08d6,0.00%,$22.57,$0.00,113,58,4.7345132743363,0.88%,03:05,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","Pet Deals","Feb 13, 2014 09:00 am",Thursday,17021,17002,10,9,19,0,0,994,5.85%,1240,61,0.36%,75,14,7,0,0,54c6e655e1,"4,856.90%",$6.11,$296.66,55,32,9.6181818181818,0.00%,04:51,16.36%,$0.00,3,5.45%,$5.39,$98.89
"Bully Stick Sale (copy 01)","Bully Stick Sale Starts 6PM Eastern!  In Stock Now!","Special Products Customers","Feb 12, 2014 06:00 pm",Wednesday,67765,67647,58,60,118,7,1,10525,15.56%,14514,1578,2.33%,2009,180,35,0,0,9834a71fda,"54,351.21%",$24.32,"$13,216.90",1740,470,10.418965517241,0.63%,05:17,41.21%,$0.00,237,13.62%,$7.60,$55.77
"$12 off reccur (copy 02)","Flash Deal: $12.00 off activated for you.","Facebook Sponsored","Feb 12, 2014 10:40 am",Wednesday,7578,7569,7,2,9,1,1,801,10.58%,1040,46,0.61%,59,14,3,0,0,2979cd0cf0,"9,189.97%",$2.72,$249.91,53,18,13.811320754717,1.89%,06:11,28.30%,$0.00,5,9.43%,$4.72,$49.98
"$12 off reccur (copy 01)","Flash Deal: $12.00 off activated for you.","PetFlow Blog","Feb 12, 2014 10:40 am",Wednesday,12387,12340,45,2,47,0,0,1071,8.68%,1442,77,0.62%,89,24,19,0,0,48efab0cf4,"2,324.81%",$4.45,$103.34,76,23,12.526315789474,0.00%,03:57,7.89%,$0.00,2,2.63%,$1.36,$51.67
"$12 off reccur","Flash Deal: $12.00 off activated for you.",PetFlow,"Feb 12, 2014 10:33 am",Wednesday,293818,293673,85,60,145,28,14,29885,10.18%,38407,1487,0.51%,1817,240,37,0,0,863d551b48,"10,828.54%",$105.44,"$11,417.30",1577,454,16.174381737476,0.38%,05:56,30.82%,$0.00,162,10.27%,$7.24,$70.48
"Warm Ups (copy 01)","3 New Items Published at $0.01 - Today Only!","PetFlow Recurring Customers","Feb 11, 2014 06:00 pm",Tuesday,44407,44382,18,7,25,1,0,7137,16.08%,8802,314,0.71%,359,49,5,0,0,d42237840d,"15,271.98%",$15.94,"$2,433.67",363,80,12.471074380165,0.55%,05:44,28.10%,$0.00,34,9.37%,$6.70,$71.58
"Warm Ups","3 New Items Published at $0.01 - Today Only!",PetFlow,"Feb 11, 2014 01:15 pm",Tuesday,278134,277983,115,36,151,10,6,26465,9.52%,32513,1251,0.45%,1495,222,39,0,0,0535017b01,"4,853.43%",$99.81,"$4,844.15",1419,359,12.131078224101,1.20%,06:30,20.51%,$0.00,98,6.91%,$3.41,$49.43
"Free Shipping (copy 01)","Last 6 hours. Free Shipping on Every Order!",PetFlow,"Feb 10, 2014 06:00 pm",Monday,275968,275831,93,44,137,1,0,16055,5.82%,20643,1105,0.40%,1318,192,49,0,0,9835149df2,"8,326.12%",$99.03,"$8,245.49",1282,374,15.035101404056,1.09%,07:38,44.23%,$0.00,185,14.43%,$6.43,$44.57
"Free Shipping (copy 01)","Last 6 hours. Free Shipping on Every Order!","PetFlow Recurring Customers","Feb 10, 2014 06:00 pm",Monday,45430,45396,28,6,34,0,0,4427,9.75%,5809,396,0.87%,461,40,4,0,0,7051fa1906,"26,055.73%",$16.30,"$4,247.77",446,120,18.762331838565,0.22%,08:42,54.48%,$0.00,81,18.16%,$9.52,$52.44
"Free Shipping (copy 01)","It's Back! 6 Hours Only - Free Shipping TODAY.",PetFlow,"Feb 10, 2014 09:00 am",Monday,292916,292771,88,57,145,9,4,23633,8.07%,30210,1789,0.61%,2190,202,47,0,0,2ec80d03d1,"16,139.52%",$105.11,"$16,964.80",2210,526,16.251583710407,0.95%,07:57,51.04%,$0.00,375,16.97%,$7.68,$45.24
"Free Shipping (copy 01)","It's Back! 6 Hours Only - Free Shipping TODAY.","PetFlow Recurring Customers","Feb 10, 2014 09:00 am",Monday,50949,50928,17,4,21,1,1,7183,14.10%,9485,576,1.13%,723,52,6,0,0,829a048c98,"34,659.38%",$18.28,"$6,336.82",732,153,17.280054644809,0.41%,07:52,52.87%,$0.00,130,17.76%,$8.66,$48.74
"Save 15% on Taste of the Wild (copy 01)","An Additional 15% off Taste of The Wild - Expires soon.","Brand Lists","Feb 09, 2014 08:27 pm",Sunday,8082,8071,8,3,11,0,0,1347,16.69%,2277,219,2.71%,305,34,2,0,0,44656b3165,"195,366.30%",$2.90,"$5,666.09",282,117,16.223404255319,0.35%,06:36,69.15%,$0.00,65,23.05%,$20.09,$87.17
"Save 15% on Natural Balance (copy 01)","Last Chance - Save 15% on Natural Balance!","Brand Lists","Feb 09, 2014 08:24 pm",Sunday,10565,10559,6,0,6,0,0,1674,15.85%,2190,108,1.02%,133,27,3,0,0,21bd201d22,"50,064.52%",$3.79,"$1,898.08",129,35,17.108527131783,0.00%,05:21,62.79%,$0.00,27,20.93%,$14.71,$70.30
"Save 15% on Blue Buffalo (copy 01)","Last Chance - Save 15% on your Blue Buffalo Purchase.","Brand Lists","Feb 09, 2014 08:20 pm",Sunday,19145,19122,22,1,23,0,0,2496,13.05%,3320,158,0.83%,194,43,1,0,0,9de1e526d6,"55,530.87%",$6.87,"$3,815.09",187,58,17.491978609626,1.07%,07:010,62.57%,$0.00,39,20.86%,$20.40,$97.82
"Save 15% on Innova (copy 01)","Last Chance - Save 15% on all your Innova Purchases.","Brand Lists","Feb 09, 2014 08:19 pm",Sunday,2146,2143,3,0,3,0,0,303,14.14%,356,12,0.56%,21,5,0,0,0,ca746004ac,"34,977.47%",$0.77,$269.36,16,5,13.875,0.00%,06:07,37.50%,$0.00,2,12.50%,$16.84,$134.68
"Etta (copy 01)","Back In Right Stock Now!  7"" Duck Chews for $0.01 - Please hurry!","PetFlow Recurring Customers","Feb 08, 2014 05:26 pm",Saturday,44247,44214,26,7,33,0,0,7652,17.31%,9863,510,1.15%,570,51,4,0,0,c4c94a51aa,"14,391.83%",$15.88,"$2,285.15",602,137,11.06976744186,0.83%,04:21,21.43%,$0.00,44,7.31%,$3.80,$51.94
Etta,"Back In Right Stock Now!  7"" Duck Chews for $0.01 - Please hurry!",PetFlow,"Feb 08, 2014 05:25 pm",Saturday,277463,277197,214,52,266,5,1,27278,9.84%,35845,1784,0.64%,2132,265,60,0,0,1664ceaa84,"8,267.12%",$99.57,"$8,231.41",2176,606,10.068474264706,2.02%,05:06,19.58%,$0.00,140,6.43%,$3.78,$58.80
"YAY10 Reccur 2/7/14 (copy 06)","$10.00 off for you today","Facebook Sponsored","Feb 07, 2014 10:15 am",Friday,7609,7597,12,0,12,0,0,862,11.35%,1118,64,0.84%,78,21,6,0,0,ee0409d3c8,"11,508.50%",$2.73,$314.24,72,20,14.347222222222,4.17%,05:46,29.17%,$0.00,7,9.72%,$4.36,$44.89
