Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"Natura 50% off","URGENT:  Inventory Blowout at 50% off.  First come, first served.",PetFlow,"Feb 21, 2014 09:00 am",Friday,280655,280532,94,29,123,4,0,17042,6.07%,21103,1617,0.58%,3418,143,21,0,0,62dd5f7a3f,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Natura 50% off (copy 01)","URGENT:  Inventory Blowout at 50% off.  First come, first served.","PetFlow Blog","Feb 21, 2014 09:00 am",Friday,12193,12175,15,3,18,0,0,455,3.74%,538,46,0.38%,74,14,1,0,0,a9b5892fbe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Natura 50% off (copy 02)","URGENT:  Inventory Blowout at 50% off.  First come, first served.","Facebook Sponsored","Feb 21, 2014 09:00 am",Friday,8435,8427,7,1,8,0,0,536,6.36%,701,52,0.62%,99,10,2,0,0,22f9aaba3e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Natura 50% off (copy 03)","URGENT:  Inventory Blowout at 50% off.  First come, first served.","Brand Lists","Feb 21, 2014 09:00 am",Friday,8786,8765,16,5,21,0,0,842,9.61%,1075,114,1.30%,358,13,0,0,0,bccdabd791,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Surprise12 (copy 05)","Flash Deal: $12.00 off activated for you.","Pet Deals 2","Feb 20, 2014 10:05 am",Thursday,8624,8612,6,6,12,0,0,937,10.88%,1098,35,0.41%,43,27,2,0,0,8dee1e6d3f,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Surprise12 (copy 04)","Flash Deal: $12.00 off activated for you.",LifeScript,"Feb 20, 2014 10:05 am",Thursday,62592,62550,23,19,42,1,2,2873,4.59%,3513,84,0.13%,106,37,12,0,0,3ae63df396,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Surprise12 (copy 03)","Flash Deal: $12.00 off activated for you.","Lifescript 2","Feb 20, 2014 10:04 am",Thursday,87158,87117,20,21,41,2,0,4350,4.99%,5371,125,0.14%,150,68,19,0,0,d48e30535d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Surprise12 (copy 02)","Flash Deal: $12.00 off activated for you.","Facebook Sponsored","Feb 20, 2014 10:04 am",Thursday,8488,8469,6,13,19,1,0,823,9.72%,1038,35,0.41%,48,34,5,0,0,e5e5d8fe83,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Surprise12 (copy 01)","Flash Deal: $12.00 off activated for you.","PetFlow Blog","Feb 20, 2014 10:04 am",Thursday,12229,12217,9,3,12,0,0,824,6.74%,1022,37,0.30%,46,23,11,0,0,5302e669b3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Surprise12,"Flash Deal: $12.00 off activated for you.",PetFlow,"Feb 20, 2014 10:03 am",Thursday,294490,294362,84,44,128,13,6,25934,8.81%,32511,1140,0.39%,1358,210,32,0,0,154933fd3c,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Free Shipping (copy 01)","Free Shipping Activated - Extended For Today! (Ends at Midnight)","PetFlow Recurring Customers","Feb 19, 2014 09:00 am",Wednesday,50510,50467,41,2,43,0,0,7505,14.87%,9672,525,1.04%,612,35,2,0,0,18a346d8d0,"29,676.21%",$18.13,"$5,378.99",543,132,20.397790055249,0.18%,08:39,54.14%,$0.00,98,18.05%,$9.91,$54.89
"Free Shipping (copy 01)","Free Shipping Activated - Extended For Today! (Ends at Midnight)",PetFlow,"Feb 19, 2014 08:59 am",Wednesday,291780,291544,205,31,236,3,2,23142,7.94%,29161,1592,0.55%,1872,234,46,0,0,edea11fd37,"10,579.08%",$104.71,"$11,076.90",1600,508,17.236875,0.38%,07:02,43.50%,$0.00,229,14.31%,$6.92,$48.37
"Free Shipping (copy 01)","Free Shipping Activated - Redeem Now!","Groupon/Living Social Customers","Feb 18, 2014 06:47 pm",Tuesday,14108,14015,27,66,93,0,0,2379,16.97%,3092,231,1.65%,260,103,10,0,0,05744d5068,"24,691.27%",$5.06,"$1,250.04",241,125,16.979253112033,0.00%,07:36,29.88%,$0.00,24,9.96%,$5.19,$52.09
"Free Shipping (copy 01)","Free Shipping Activated - Redeem Now!","Lifescript 2","Feb 18, 2014 06:46 pm",Tuesday,87299,87225,65,9,74,1,1,5707,6.54%,7606,311,0.36%,349,103,16,0,0,90c1555739,644.04%,$31.33,$201.76,297,161,9.6060606060606,0.34%,04:58,7.07%,$0.00,7,2.36%,$0.68,$28.82
"Free Shipping (copy 01)","Free Shipping Activated - Redeem Now!","Facebook Sponsored","Feb 18, 2014 06:46 pm",Tuesday,7847,7826,6,15,21,1,3,895,11.44%,1274,131,1.67%,157,23,1,0,0,0bc07e3a86,"18,796.06%",$2.82,$529.28,137,30,15.496350364964,0.00%,06:35,30.66%,$0.00,13,9.49%,$3.86,$40.71
"Free Shipping (copy 01)","Free Shipping Activated - Redeem Now!","PetFlow Recurring Customers","Feb 18, 2014 06:46 pm",Tuesday,51338,51310,24,4,28,2,0,10773,21.00%,14570,904,1.76%,1065,35,5,0,0,99abc534da,"34,311.15%",$18.42,"$6,321.05",1001,243,15.59040959041,0.60%,07:02,44.96%,$0.00,150,14.99%,$6.31,$42.14
"Free Shipping","Free Shipping Activated - Redeem Now!",PetFlow,"Feb 18, 2014 06:46 pm",Tuesday,294175,293999,163,13,176,7,3,30669,10.43%,40554,2582,0.88%,3160,207,40,0,0,e8e942329d,"13,352.70%",$105.57,"$14,095.80",2853,814,14.845075359271,0.46%,06:45,33.54%,$0.00,317,11.11%,$4.94,$44.47
RXSAVE40,"First Time Ever: 40% off - Details Inside.",PetFlow,"Feb 18, 2014 10:19 am",Tuesday,294368,293948,360,60,420,15,10,27250,9.27%,34897,1528,0.52%,1914,196,47,0,0,c1dd8eb793,0.00%,$105.63,$0.00,2,0,3.5,0.00%,00:25,0.00%,$0.00,0,0.00%,$0.00,$0.00
"DoorBusters LIVE! (copy 01)","New Doorbusters live at 9AM Today!  Look inside!",LifeScript,"Feb 17, 2014 08:53 am",Monday,62693,62656,29,8,37,0,0,3437,5.49%,4271,145,0.23%,170,56,16,0,0,576bca0ce5,589.89%,$22.50,$132.71,145,82,10.248275862069,0.69%,04:08,8.28%,$0.00,4,2.76%,$0.92,$33.18
"DoorBusters LIVE! (copy 10)","New Doorbusters live at 9AM Today!  Look inside!","Lifescript 2","Feb 17, 2014 08:52 am",Monday,87432,87380,40,12,52,1,0,4969,5.69%,6087,195,0.22%,215,87,16,0,0,f5ad8ba2d9,120.96%,$31.38,$37.95,194,101,7.2164948453608,1.55%,03:31,1.55%,$0.00,1,0.52%,$0.20,$37.95
"DoorBusters LIVE! (copy 09)","New Doorbusters live at 9AM Today!  Look inside!","Facebook Sponsored","Feb 17, 2014 08:52 am",Monday,7517,7509,5,3,8,0,0,697,9.28%,931,91,1.21%,98,16,3,0,0,5b17447bc1,"10,488.28%",$2.70,$282.92,97,21,13.072164948454,1.03%,06:16,21.65%,$0.00,7,7.22%,$2.92,$40.42
"DoorBusters LIVE! (copy 08)","New Doorbusters live at 9AM Today!  Look inside!",PetFlow,"Feb 17, 2014 08:52 am",Monday,280254,280142,87,25,112,1,0,23624,8.43%,29804,2040,0.73%,2379,262,35,0,0,80313a4819,"6,511.50%",$100.57,"$6,548.59",2323,591,8.9035729659923,0.69%,04:19,12.91%,$0.00,101,4.35%,$2.82,$64.84
"DoorBusters LIVE! (copy 07)","New Doorbusters live at 1PM Today! Look inside!","PetFlow Recurring Customers","Feb 16, 2014 01:10 pm",Sunday,51251,51222,16,13,29,1,0,8244,16.09%,10748,835,1.63%,937,66,9,0,0,4bb5a4a87c,"26,651.05%",$18.39,"$4,901.53",1032,239,12.087209302326,1.55%,05:23,19.77%,$0.00,66,6.40%,$4.75,$74.27
"Happy Valentine's Day! (copy 06)","♥♥♥ Valentine's Coupon Extended for TODAY. Will Expire At Midnight!  ♥♥♥","Brand Lists","Feb 16, 2014 01:08 pm",Sunday,70495,70344,75,76,151,2,1,10730,15.25%,13993,802,1.14%,997,230,33,0,0,5332f2c9ff,"63,005.67%",$25.30,"$15,938.70",1002,312,19.455089820359,0.80%,08:03,67.37%,$0.00,226,22.55%,$15.91,$70.53
"Happy Valentine's Day! (copy 05)","♥♥♥ Valentine's Coupon Extended for TODAY. Will Expire At Midnight!  ♥♥♥",PetFlow,"Feb 16, 2014 09:00 am",Sunday,278523,278436,60,27,87,4,2,23900,8.58%,29669,1168,0.42%,1422,179,49,0,0,01605ab178,"16,493.20%",$99.95,"$16,484.70",1425,395,16.703157894737,0.84%,07:00,48.00%,$0.00,228,16.00%,$11.57,$72.30
"20% off Natural Balance","Special Offer: Save 20% on Natural Balance","Lifescript 2","Feb 15, 2014 09:00 am",Saturday,87564,87518,38,8,46,1,0,5110,5.84%,6243,76,0.09%,83,69,30,0,0,9491828f09,117.34%,$31.42,$36.87,78,44,6.7692307692308,2.56%,02:010,3.85%,$0.00,1,1.28%,$0.47,$36.87
"20% off Natural Balance (copy 01)","Special Offer: Save 20% on Natural Balance","Pet Deals 2","Feb 15, 2014 09:00 am",Saturday,8660,8657,3,0,3,0,0,983,11.35%,1150,30,0.35%,34,26,6,0,0,c6451594f8,0.00%,$3.11,$0.00,35,17,9.4285714285714,5.71%,03:03,0.00%,$0.00,0,0.00%,$0.00,$0.00
